import time: self [us] | cumulative | imported package
import time:      6261 |      65215 |                                         psutil
import time:      4590 |      69804 |                                       joblib.externals.loky.backend.utils
import time:      1172 |       1172 |                                       joblib.externals.loky.initializers
import time:      5726 |      79213 |                                     joblib.externals.loky.process_executor
import time:      2663 |      81875 |                                   joblib.externals.loky.reusable_executor
import time:      1676 |       1676 |                                   joblib.externals.loky.cloudpickle_wrapper
import time:      3381 |     152123 |                                 joblib.externals.loky
import time:      1482 |     178343 |                               joblib._cloudpickle_wrapper
import time:      5431 |       5431 |                                 joblib._utils
import time:      5082 |       5082 |                                 multiprocessing.pool
import time:     17051 |      17051 |                                     mmap
import time:      5533 |       5533 |                                     joblib.backports
import time:      2727 |       2727 |                                     joblib.disk
import time:      1203 |       1203 |                                         multiprocessing.spawn
import time:     21601 |      21601 |                                         _posixshmem
import time:      2447 |      25250 |                                       multiprocessing.resource_tracker
import time:      2289 |       2289 |                                       joblib.externals.loky.backend.spawn
import time:      3478 |      31016 |                                     joblib.externals.loky.backend.resource_tracker
import time:       604 |        604 |                                         lz4
import time:      2601 |       3205 |                                       joblib.compressor
import time:      1688 |       1688 |                                         joblib.numpy_pickle_utils
import time:      2498 |       4185 |                                       joblib.numpy_pickle_compat
import time:      4228 |      11617 |                                     joblib.numpy_pickle
import time:      2223 |      70164 |                                   joblib._memmapping_reducer
import time:      2405 |      72569 |                                 joblib.executor
import time:      5528 |       5528 |                                 joblib.pool
import time:      2689 |      91298 |                               joblib._parallel_backends
import time:      1819 |       1819 |                                 joblib.logger
import time:      2148 |       3967 |                               joblib._store_backends
import time:      1552 |       1552 |                               joblib.hashing
import time:      3949 |       3949 |                                     asyncio.constants
import time:      1743 |       1743 |                                         asyncio.format_helpers
import time:      2252 |       3994 |                                       asyncio.base_futures
import time:      1235 |       1235 |                                       asyncio.log
import time:      2879 |       8107 |                                     asyncio.coroutines
import time:      2323 |       2323 |                                         asyncio.exceptions
import time:      2568 |       2568 |                                         asyncio.base_tasks
import time:     27158 |      32047 |                                       _asyncio
import time:      3696 |      35743 |                                     asyncio.events
import time:      2845 |       2845 |                                     asyncio.futures
import time:      3555 |       3555 |                                     asyncio.protocols
import time:      4423 |       4423 |                                       asyncio.transports
import time:      5086 |       9508 |                                     asyncio.sslproto
import time:      1797 |       1797 |                                         asyncio.mixins
import time:      4553 |       4553 |                                         asyncio.tasks
import time:      2368 |       8717 |                                       asyncio.locks
import time:      3552 |      12268 |                                     asyncio.staggered
import time:      1670 |       1670 |                                     asyncio.trsock
import time:      4816 |      82457 |                                   asyncio.base_events
import time:      2336 |       2336 |                                   asyncio.runners
import time:      3045 |       3045 |                                   asyncio.queues
import time:      2293 |       2293 |                                   asyncio.streams
import time:      2423 |       2423 |                                   asyncio.subprocess
import time:      3411 |       3411 |                                   asyncio.threads
import time:      6644 |       6644 |                                     asyncio.base_subprocess
import time:      3622 |       3622 |                                     asyncio.selector_events
import time:      5929 |      16195 |                                   asyncio.unix_events
import time:      2950 |     115106 |                                 asyncio
import time:      3681 |       3681 |                                 joblib.func_inspect
import time:      2693 |     121479 |                               joblib.memory
import time:      3161 |       3161 |                               joblib.parallel
import time:      2503 |     402299 |                             joblib
import time:      4833 |     407132 |                           sklearn.utils._joblib
import time:       951 |        951 |                               sklearn.utils._bunch
import time:      5072 |       6023 |                             sklearn.utils._metadata_requests
import time:      5788 |      11810 |                           sklearn.utils.metadata_routing
import time:      2229 |       2229 |                           sklearn.utils._estimator_html_repr
import time:      1086 |       1086 |                                         ctypes.macholib
import time:      4381 |       4381 |                                         ctypes.macholib.framework
import time:      2281 |       2281 |                                         ctypes.macholib.dylib
import time:      2349 |      10096 |                                       ctypes.macholib.dyld
import time:      2234 |      12329 |                                     ctypes.util
import time:     12625 |      24954 |                                   threadpoolctl
import time:      3670 |       3670 |                                       sklearn.externals
import time:      1521 |       5190 |                                     sklearn.externals._packaging
import time:      3613 |       3613 |                                     sklearn.externals._packaging._structures
import time:      5001 |      13802 |                                   sklearn.externals._packaging.version
import time:      1385 |       1385 |                                   sklearn.utils.deprecation
import time:      7508 |      47647 |                                 sklearn.utils.fixes
import time:      7470 |      55116 |                               sklearn.utils._array_api
import time:       515 |        515 |                                 sklearn.utils.collections
import time:        82 |         82 |                                 sklearn.utils.enum
import time:     21935 |      22531 |                               sklearn.utils._isfinite
import time:      6726 |      84373 |                             sklearn.utils.validation
import time:     10394 |      94766 |                           sklearn.utils._param_validation
import time:      1049 |       1049 |                           sklearn.utils.class_weight
import time:      1177 |       1177 |                           sklearn.utils.discovery
import time:     24072 |      24072 |                           sklearn.utils.murmurhash
import time:      6571 |     550265 |                         sklearn.utils
import time:      2289 |       2289 |                           sklearn.utils._available_if
import time:      1182 |       3471 |                         sklearn.utils._set_output
import time:       646 |        646 |                         sklearn.utils._tags
import time:      6026 |     567366 |                       sklearn.base
import time:     15931 |      15931 |                         sklearn.utils._openmp_helpers
import time:       648 |      16578 |                       sklearn.utils._show_versions
import time:      3017 |     618779 |                     sklearn
import time:     13005 |      13005 |                             sklearn.utils._logistic_sigmoid
import time:     20116 |      20116 |                             sklearn.utils.sparsefuncs_fast
import time:      3399 |      36518 |                           sklearn.utils.extmath
import time:      1903 |       1903 |                           sklearn.utils.sparsefuncs
import time:      1966 |       1966 |                             sklearn.utils._encode
import time:      2352 |       2352 |                             sklearn.utils._mask
import time:      3970 |       8287 |                           sklearn.preprocessing._encoders
import time:      9344 |      56051 |                         sklearn.preprocessing._data
import time:      3407 |       3407 |                           sklearn.utils.stats
import time:      1968 |       5375 |                         sklearn.preprocessing._discretization
import time:      2992 |       2992 |                           sklearn.utils.metaestimators
import time:      2624 |       5616 |                         sklearn.preprocessing._function_transformer
import time:      2088 |       2088 |                           sklearn.utils.multiclass
import time:      5105 |       7193 |                         sklearn.preprocessing._label
import time:     16499 |      16499 |                           sklearn.preprocessing._csr_polynomial_expansion
import time:      5916 |      22414 |                         sklearn.preprocessing._polynomial
import time:     16946 |      16946 |                           sklearn.preprocessing._target_encoder_fast
import time:      1444 |      18389 |                         sklearn.preprocessing._target_encoder
import time:      3408 |     118443 |                       sklearn.preprocessing
import time:     12824 |      12824 |                           sklearn.utils._vector_sentinel
import time:     14794 |      27617 |                         sklearn.feature_extraction._hashing_fast
import time:      2678 |      30295 |                       sklearn.feature_extraction._hash
import time:       879 |        879 |                       sklearn.feature_extraction._stop_words
import time:      8849 |     158464 |                     sklearn.feature_extraction.text
import time:      1847 |       1847 |                     sklearn.feature_extraction._dict_vectorizer
import time:      2104 |       2104 |                     sklearn.feature_extraction.image
import time:      1573 |     782765 |                   sklearn.feature_extraction
import time:      1681 |     784446 |                 nltk.classify.scikitlearn
import time:      1216 |       1216 |                 nltk.classify.senna
import time:      1905 |       1905 |                 nltk.classify.textcat
import time:      2250 |       2250 |                 nltk.classify.weka
import time:       989 |     809020 |               nltk.classify
import time:      1557 |     810577 |             nltk.tag.sequential
import time:       627 |        627 |                   nltk.tbl.feature
import time:       739 |        739 |                   nltk.tbl.rule
import time:      1354 |       2719 |                 nltk.tbl.template
import time:       489 |        489 |                 nltk.tbl.erroranalysis
import time:      1235 |       4442 |               nltk.tbl
import time:      2183 |       6624 |             nltk.tag.brill
import time:      1523 |       1523 |             nltk.tag.brill_trainer
import time:      1216 |       1216 |             nltk.tag.tnt
import time:      1434 |       1434 |             nltk.tag.hunpos
import time:      3216 |       3216 |             nltk.tag.stanford
import time:      1743 |       1743 |             nltk.tag.hmm
import time:      2379 |       2379 |             nltk.tag.senna
import time:       977 |        977 |             nltk.tag.mapping
import time:       295 |        295 |               pycrfsuite
import time:      1194 |       1489 |             nltk.tag.crf
import time:      1335 |       1335 |             nltk.tag.perceptron
import time:      3504 |     839441 |           nltk.tag
import time:       113 |     839554 |         nltk.tag.mapping
import time:      2612 |       2612 |               nltk.tree.tree
import time:      1861 |       4473 |             nltk.tree.parented
import time:      1695 |       6168 |           nltk.tree.immutable
import time:      1831 |       1831 |           nltk.tree.parsing
import time:      1380 |       1380 |           nltk.tree.prettyprinter
import time:      1668 |       1668 |           nltk.tree.probabilistic
import time:      1853 |       1853 |           nltk.tree.transforms
import time:      4101 |      16998 |         nltk.tree
import time:      7239 |     863790 |       nltk.chunk.util
import time:       727 |        727 |         nltk.parse.api
import time:       432 |        432 |           bllipparser
import time:      1042 |       1474 |         nltk.parse.bllip
import time:      3314 |       3314 |         nltk.parse.chart
import time:      1505 |       1505 |           nltk.parse.dependencygraph
import time:      2132 |       3636 |         nltk.parse.corenlp
import time:      2391 |       2391 |           nltk.parse.featurechart
import time:      4676 |       7066 |         nltk.parse.earleychart
import time:      2102 |       2102 |         nltk.parse.evaluate
import time:      2413 |       2413 |             nltk.parse.pchart
import time:      2434 |       4847 |           nltk.parse.util
import time:      1060 |       5906 |         nltk.parse.malt
import time:      2837 |       2837 |         nltk.parse.nonprojectivedependencyparser
import time:      3741 |       3741 |         nltk.parse.projectivedependencyparser
import time:      2798 |       2798 |         nltk.parse.recursivedescent
import time:      1117 |       1117 |         nltk.parse.shiftreduce
import time:      1773 |       1773 |             sklearn.svm._bounds
import time:     16368 |      16368 |                       sklearn.utils._random
import time:     19010 |      35377 |                     sklearn.utils._seq_dataset
import time:      2383 |       2383 |                     sklearn.utils.parallel
import time:      5148 |      42908 |                   sklearn.linear_model._base
import time:      3703 |       3703 |                   sklearn.linear_model._bayes
import time:      1538 |       1538 |                           sklearn.utils._response
import time:      2472 |       4010 |                         sklearn.utils._plotting
import time:      1849 |       1849 |                               sklearn.metrics.cluster._bicluster
import time:     17999 |      17999 |                                 sklearn.metrics.cluster._expected_mutual_info_fast
import time:      1617 |      19616 |                               sklearn.metrics.cluster._supervised
import time:     17194 |      17194 |                                       sklearn.metrics._dist_metrics
import time:     20114 |      20114 |                                           sklearn.metrics._pairwise_distances_reduction._datasets_pair
import time:       191 |        191 |                                             sklearn.utils.collections
import time:       119 |        119 |                                             sklearn.utils.enum
import time:     24411 |      24720 |                                           sklearn.utils._cython_blas
import time:     15540 |      60373 |                                         sklearn.metrics._pairwise_distances_reduction._base
import time:     21809 |      21809 |                                         sklearn.metrics._pairwise_distances_reduction._middle_term_computer
import time:     16764 |      16764 |                                         sklearn.utils._heap
import time:     20338 |      20338 |                                         sklearn.utils._sorting
import time:     21318 |     140600 |                                       sklearn.metrics._pairwise_distances_reduction._argkmin
import time:       821 |        821 |                                         sklearn.metrics._pairwise_distances_reduction.collections
import time:       156 |        156 |                                         sklearn.metrics._pairwise_distances_reduction.enum
import time:     32403 |      33378 |                                       sklearn.metrics._pairwise_distances_reduction._argkmin_classmode
import time:     47339 |      47339 |                                       sklearn.metrics._pairwise_distances_reduction._radius_neighbors
import time:      3879 |     242388 |                                     sklearn.metrics._pairwise_distances_reduction._dispatcher
import time:      1145 |     243533 |                                   sklearn.metrics._pairwise_distances_reduction
import time:     22132 |      22132 |                                   sklearn.metrics._pairwise_fast
import time:      2374 |     268039 |                                 sklearn.metrics.pairwise
import time:      2467 |     270506 |                               sklearn.metrics.cluster._unsupervised
import time:      1788 |     293758 |                             sklearn.metrics.cluster
import time:     10434 |      10434 |                             sklearn.metrics._classification
import time:      4725 |       4725 |                               sklearn.metrics._plot
import time:      2823 |       7548 |                             sklearn.metrics._plot.confusion_matrix
import time:      1434 |       1434 |                                 sklearn.metrics._base
import time:      9332 |      10766 |                               sklearn.metrics._ranking
import time:      2058 |      12823 |                             sklearn.metrics._plot.det_curve
import time:      2145 |       2145 |                             sklearn.metrics._plot.precision_recall_curve
import time:      2660 |       2660 |                             sklearn.metrics._plot.regression
import time:      4823 |       4823 |                             sklearn.metrics._plot.roc_curve
import time:      3575 |       3575 |                             sklearn.metrics._regression
import time:     17993 |      17993 |                             sklearn.metrics._scorer
import time:      6108 |     361863 |                           sklearn.metrics
import time:     14150 |      14150 |                           sklearn.model_selection._split
import time:      2968 |     378981 |                         sklearn.model_selection._validation
import time:      2290 |     385279 |                       sklearn.model_selection._plot
import time:      1998 |       1998 |                         sklearn.utils.random
import time:     11674 |      13671 |                       sklearn.model_selection._search
import time:      8711 |     407660 |                     sklearn.model_selection
import time:     24769 |      24769 |                     sklearn.linear_model._cd_fast
import time:      9465 |     441892 |                   sklearn.linear_model._coordinate_descent
import time:     30438 |      30438 |                             sklearn._loss._loss
import time:      5108 |       5108 |                             sklearn._loss.link
import time:     10288 |      45833 |                           sklearn._loss.loss
import time:      1387 |      47220 |                         sklearn._loss
import time:        43 |      47262 |                       sklearn._loss.loss
import time:      4196 |       4196 |                       sklearn.utils.optimize
import time:      5879 |       5879 |                       sklearn.linear_model._linear_loss
import time:       833 |        833 |                       sklearn.linear_model._glm._newton_solver
import time:      5575 |      63743 |                     sklearn.linear_model._glm.glm
import time:      1021 |      64763 |                   sklearn.linear_model._glm
import time:      3931 |       3931 |                   sklearn.linear_model._huber
import time:     22684 |      22684 |                     sklearn.utils.arrayfuncs
import time:      8355 |      31038 |                   sklearn.linear_model._least_angle
import time:     21720 |      21720 |                       sklearn.svm._liblinear
import time:     30122 |      30122 |                       sklearn.svm._libsvm
import time:     19756 |      19756 |                       sklearn.svm._libsvm_sparse
import time:      3776 |      75372 |                     sklearn.svm._base
import time:     22432 |      22432 |                           sklearn.utils._weight_vector
import time:     23495 |      45926 |                         sklearn.linear_model._sgd_fast
import time:     17950 |      63876 |                       sklearn.linear_model._sag_fast
import time:      2053 |      65928 |                     sklearn.linear_model._sag
import time:      5882 |     147182 |                   sklearn.linear_model._logistic
import time:      3356 |       3356 |                   sklearn.linear_model._omp
import time:      4902 |       4902 |                     sklearn.linear_model._stochastic_gradient
import time:      1827 |       6729 |                   sklearn.linear_model._passive_aggressive
import time:      3718 |       3718 |                   sklearn.linear_model._perceptron
import time:      1756 |       1756 |                   sklearn.linear_model._quantile
import time:      4385 |       4385 |                   sklearn.linear_model._ransac
import time:     12114 |      12114 |                   sklearn.linear_model._ridge
import time:      1998 |       1998 |                   sklearn.linear_model._theil_sen
import time:      3899 |     773365 |                 sklearn.linear_model
import time:        53 |     773418 |               sklearn.linear_model._base
import time:      8297 |     781715 |             sklearn.svm._classes
import time:      5556 |     789043 |           sklearn.svm
import time:     18966 |      18966 |                 _csv
import time:      3507 |      22472 |               csv
import time:      4450 |      26922 |             sklearn.datasets._base
import time:     19212 |      19212 |                 grp
import time:      3906 |      23117 |               tarfile
import time:      1248 |      24365 |             sklearn.datasets._california_housing
import time:      6775 |       6775 |             sklearn.datasets._covtype
import time:      1945 |       1945 |             sklearn.datasets._kddcup99
import time:      1808 |       1808 |             sklearn.datasets._lfw
import time:      2270 |       2270 |                       scipy.io.matlab._byteordercodes
import time:      2188 |       4458 |                     scipy.io.matlab._miobase
import time:     37039 |      37039 |                       scipy.io.matlab._mio_utils
import time:      5361 |      42399 |                     scipy.io.matlab._mio4
import time:     21623 |      21623 |                         scipy.io.matlab._streams
import time:      2810 |       2810 |                         scipy.io.matlab._mio5_params
import time:     18646 |      43079 |                       scipy.io.matlab._mio5_utils
import time:      3937 |      47015 |                     scipy.io.matlab._mio5
import time:      3330 |      97201 |                   scipy.io.matlab._mio
import time:      1822 |       1822 |                   scipy.io.matlab.mio
import time:      1930 |       1930 |                   scipy.io.matlab.mio5
import time:       652 |        652 |                   scipy.io.matlab.mio5_params
import time:       789 |        789 |                   scipy.io.matlab.mio4
import time:      2047 |       2047 |                   scipy.io.matlab.byteordercodes
import time:      1317 |       1317 |                   scipy.io.matlab.miobase
import time:       746 |        746 |                   scipy.io.matlab.mio_utils
import time:      1784 |       1784 |                   scipy.io.matlab.streams
import time:      1257 |       1257 |                   scipy.io.matlab.mio5_utils
import time:      2281 |     111823 |                 scipy.io.matlab
import time:      3306 |       3306 |                 scipy.io._netcdf
import time:      1752 |       1752 |                 scipy.io._fortran
import time:      3998 |       3998 |                   scipy.io._mmio
import time:      2901 |       6899 |                 scipy.io._fast_matrix_market
import time:      3979 |       3979 |                 scipy.io._idl
import time:      2029 |       2029 |                     scipy.io._harwell_boeing._fortran_format_parser
import time:      2181 |       4209 |                   scipy.io._harwell_boeing.hb
import time:      2855 |       7064 |                 scipy.io._harwell_boeing
import time:      5365 |       5365 |                   scipy.io.arff._arffread
import time:       728 |        728 |                   scipy.io.arff.arffread
import time:      1637 |       7729 |                 scipy.io.arff
import time:       699 |        699 |                 scipy.io.harwell_boeing
import time:       583 |        583 |                 scipy.io.idl
import time:      1985 |       1985 |                 scipy.io.mmio
import time:      1766 |       1766 |                 scipy.io.netcdf
import time:     21239 |      21239 |                 scipy.io.wavfile
import time:      2677 |     171494 |               scipy.io
import time:      3239 |     174732 |             sklearn.datasets._olivetti_faces
import time:     20419 |      20419 |                 sklearn.externals._arff
import time:      1297 |      21715 |               sklearn.datasets._arff_parser
import time:      4142 |      25856 |             sklearn.datasets._openml
import time:       357 |        357 |                   backports_abc
import time:     17478 |      17835 |                 sklearn.datasets._svmlight_format_fast
import time:      3000 |      20835 |               sklearn.datasets._svmlight_format_io
import time:      3870 |      24705 |             sklearn.datasets._rcv1
import time:      3891 |       3891 |             sklearn.datasets._samples_generator
import time:      3585 |       3585 |             sklearn.datasets._species_distributions
import time:      4462 |       4462 |             sklearn.datasets._twenty_newsgroups
import time:      7357 |     306397 |           sklearn.datasets
import time:      2837 |    1098275 |         nltk.parse.transitionparser
import time:      1275 |       1275 |         nltk.parse.viterbi
import time:      3217 |    1137478 |       nltk.parse
import time:      2417 |    2003684 |     nltk.chunk.api
import time:      6171 |       6171 |     nltk.chunk.regexp
import time:      8504 |    2018358 |   nltk.chunk
import time:      2361 |       2361 |     nltk.inference.api
import time:     18035 |      18035 |         nltk.inference.prover9
import time:     15628 |      33662 |       nltk.inference.mace
import time:     22018 |      22018 |         nltk.sem.linearlogic
import time:     16831 |      38849 |       nltk.sem.glue
import time:      8847 |      81357 |     nltk.inference.discourse
import time:     10087 |      10087 |     nltk.inference.resolution
import time:     11872 |      11872 |     nltk.inference.tableau
import time:      2226 |     107900 |   nltk.inference
import time:     22998 |      22998 |     nltk.translate.api
import time:     24031 |      24031 |     nltk.translate.ibm_model
import time:     12011 |      12011 |     nltk.translate.ibm1
import time:     11120 |      11120 |     nltk.translate.ibm2
import time:     16006 |      16006 |     nltk.translate.ibm3
import time:     14334 |      14334 |     nltk.translate.ibm4
import time:     14418 |      14418 |     nltk.translate.ibm5
import time:     44120 |      44120 |       fractions
import time:     37245 |      81364 |     nltk.translate.bleu_score
import time:      5905 |       5905 |     nltk.translate.ribes_score
import time:     11863 |      11863 |               nltk.corpus.reader.util
import time:      4588 |      16450 |             nltk.corpus.reader.api
import time:     14096 |      30546 |           nltk.corpus.reader.plaintext
import time:      3888 |       3888 |             nltk.corpus.reader.timit
import time:      9054 |      12942 |           nltk.corpus.reader.tagged
import time:      4846 |       4846 |           nltk.corpus.reader.cmudict
import time:      6058 |       6058 |           nltk.corpus.reader.conll
import time:      7962 |       7962 |             nltk.corpus.reader.bracket_parse
import time:      7666 |      15627 |           nltk.corpus.reader.chunked
import time:      5572 |       5572 |           nltk.corpus.reader.wordlist
import time:     36893 |      36893 |           nltk.corpus.reader.xmldocs
import time:      6816 |       6816 |           nltk.corpus.reader.ppattach
import time:     16178 |      16178 |           nltk.corpus.reader.senseval
import time:      8426 |       8426 |           nltk.corpus.reader.ieer
import time:     11013 |      11013 |           nltk.corpus.reader.sinica_treebank
import time:      5852 |       5852 |           nltk.corpus.reader.indian
import time:     22024 |      22024 |             nltk.toolbox
import time:      4794 |      26817 |           nltk.corpus.reader.toolbox
import time:      2658 |       2658 |           nltk.corpus.reader.ycoe
import time:     13254 |      13254 |           nltk.corpus.reader.rte
import time:      5561 |       5561 |           nltk.corpus.reader.string_category
import time:     27550 |      27550 |           nltk.corpus.reader.propbank
import time:      7699 |       7699 |           nltk.corpus.reader.verbnet
import time:      4223 |       4223 |           nltk.corpus.reader.bnc
import time:     19072 |      19072 |           nltk.corpus.reader.nps_chat
import time:     73241 |      73241 |           nltk.corpus.reader.wordnet
import time:      1319 |       1319 |           nltk.corpus.reader.switchboard
import time:      2063 |       2063 |           nltk.corpus.reader.dependency
import time:     50606 |      50606 |           nltk.corpus.reader.nombank
import time:     40299 |      40299 |           nltk.corpus.reader.ipipan
import time:     25615 |      25615 |           nltk.corpus.reader.pl196x
import time:     81959 |      81959 |           nltk.corpus.reader.knbc
import time:      1757 |       1757 |           nltk.corpus.reader.chasen
import time:      9873 |       9873 |           nltk.corpus.reader.childes
import time:      1982 |       1982 |           nltk.corpus.reader.aligned
import time:     82773 |      82773 |           nltk.corpus.reader.lin
import time:      1361 |       1361 |           nltk.corpus.reader.semcor
import time:      2273 |       2273 |           nltk.corpus.reader.framenet
import time:      1518 |       1518 |           nltk.corpus.reader.udhr
import time:      1740 |       1740 |           nltk.corpus.reader.sentiwordnet
import time:       866 |        866 |           nltk.corpus.reader.twitter
import time:      2392 |       2392 |           nltk.corpus.reader.nkjp
import time:      1661 |       1661 |           nltk.corpus.reader.crubadan
import time:      2397 |       2397 |           nltk.corpus.reader.mte
import time:      3142 |       3142 |           nltk.corpus.reader.reviews
import time:      1659 |       1659 |           nltk.corpus.reader.opinion_lexicon
import time:      1502 |       1502 |           nltk.corpus.reader.pros_cons
import time:      2744 |       2744 |           nltk.corpus.reader.categorized_sents
import time:      2303 |       2303 |           nltk.corpus.reader.comparative_sents
import time:     38199 |      38199 |                 _sqlite3
import time:      3338 |      41536 |               sqlite3.dbapi2
import time:      2157 |      43693 |             sqlite3
import time:      2408 |      46101 |           nltk.corpus.reader.panlex_lite
import time:      3204 |       3204 |           nltk.corpus.reader.panlex_swadesh
import time:      1294 |       1294 |           nltk.corpus.reader.bcp47
import time:     16109 |     731334 |         nltk.corpus.reader
import time:      1623 |       1623 |         nltk.corpus.util
import time:     10146 |     743103 |       nltk.corpus
import time:      1458 |       1458 |           nltk.stem.api
import time:      2443 |       2443 |           nltk.stem.arlstem
import time:      1701 |       1701 |           nltk.stem.arlstem2
import time:      3575 |       3575 |           nltk.stem.cistem
import time:      2337 |       2337 |           nltk.stem.isri
import time:      1488 |       1488 |           nltk.stem.lancaster
import time:      4737 |       4737 |           nltk.stem.porter
import time:      1309 |       1309 |           nltk.stem.regexp
import time:      3757 |       3757 |           nltk.stem.rslp
import time:       914 |        914 |             nltk.stem.util
import time:      6866 |       7780 |           nltk.stem.snowball
import time:      6936 |       6936 |           nltk.stem.wordnet
import time:      6224 |      43740 |         nltk.stem
import time:       498 |      44237 |       nltk.stem.api
import time:      2690 |     790029 |     nltk.translate.meteor_score
import time:      1736 |       1736 |     nltk.translate.metrics
import time:      2169 |       2169 |     nltk.translate.stack_decoder
import time:      1861 |       1861 |     nltk.translate.nist_score
import time:      1357 |       1357 |     nltk.translate.chrf_score
import time:       322 |        322 |       norm
import time:      2676 |       2997 |     nltk.translate.gale_church
import time:       867 |        867 |     nltk.translate.gdfa
import time:      1727 |       1727 |     nltk.translate.gleu_score
import time:       739 |        739 |     nltk.translate.phrase_based
import time:     13480 |    1019141 |   nltk.translate
import time:       695 |        695 |   nltk.lazyimport
import time:      4376 |       4376 |         nltk.cluster.api
import time:      1629 |       6004 |       nltk.cluster.util
import time:      1199 |       7202 |     nltk.cluster.em
import time:      1035 |       1035 |     nltk.cluster.gaac
import time:      1331 |       1331 |     nltk.cluster.kmeans
import time:       801 |      10368 |   nltk.cluster
import time:      3280 |       3280 |       tkinter.commondialog
import time:      2488 |       5767 |     tkinter.messagebox
import time:      1868 |       1868 |                 tkinter.dialog
import time:      5815 |       5815 |                 tkinter.simpledialog
import time:      1815 |       9497 |               tkinter.filedialog
import time:      5295 |      14792 |             nltk.draw.util
import time:      2209 |      17001 |           nltk.draw.tree
import time:     12526 |      29526 |         nltk.draw.cfg
import time:     21615 |      21615 |         nltk.draw.table
import time:      3549 |       3549 |         nltk.draw.dispersion
import time:      1575 |      56263 |       nltk.draw
import time:        42 |      56304 |     nltk.draw.table
import time:      7442 |      69513 |   nltk.downloader
import time:      4919 |       4919 |         nltk.ccg.api
import time:      3679 |       8597 |       nltk.ccg.combinator
import time:     11348 |      11348 |       nltk.ccg.lexicon
import time:      1270 |       1270 |       nltk.ccg.logic
import time:     12574 |      33788 |     nltk.ccg.chart
import time:     10032 |      43819 |   nltk.ccg
import time:      5732 |       5732 |   nltk.help
import time:      1684 |       1684 |     nltk.misc.babelfish
import time:       871 |        871 |     nltk.misc.chomsky
import time:       650 |        650 |     nltk.misc.minimalset
import time:       810 |        810 |     nltk.misc.wordfinder
import time:      1331 |       5343 |   nltk.misc
import time:      1064 |       1064 |   nltk.wsd
import time:     26957 |    7956244 | nltk
import time:      2641 |       2641 |             prompt_toolkit.application.current
import time:      1138 |       1138 |                   prompt_toolkit.eventloop.async_context_manager
import time:      1219 |       1219 |                   prompt_toolkit.eventloop.utils
import time:      1426 |       3783 |                 prompt_toolkit.eventloop.async_generator
import time:      1286 |       1286 |                 prompt_toolkit.eventloop.inputhook
import time:      1470 |       6538 |               prompt_toolkit.eventloop
import time:      1173 |       7711 |             prompt_toolkit.application.run_in_terminal
import time:      1058 |       1058 |                     prompt_toolkit.selection
import time:      1188 |       2245 |                   prompt_toolkit.clipboard.base
import time:       922 |        922 |                   prompt_toolkit.clipboard.in_memory
import time:       519 |       3685 |                 prompt_toolkit.clipboard
import time:      1429 |       1429 |                     prompt_toolkit.cache
import time:      2270 |       2270 |                     prompt_toolkit.enums
import time:      4024 |       4024 |                     prompt_toolkit.filters.base
import time:      1004 |       8725 |                   prompt_toolkit.filters.app
import time:       679 |        679 |                   prompt_toolkit.filters.cli
import time:       642 |        642 |                   prompt_toolkit.filters.utils
import time:       654 |      10699 |                 prompt_toolkit.filters
import time:      4707 |      19090 |               prompt_toolkit.document
import time:      3403 |      22493 |             prompt_toolkit.auto_suggest
import time:      7201 |       7201 |                                   prompt_toolkit.keys
import time:      2532 |       9732 |                                 prompt_toolkit.key_binding.key_bindings
import time:       717 |        717 |                                         wcwidth.table_vs16
import time:      1190 |       1190 |                                         wcwidth.table_wide
import time:      1769 |       1769 |                                         wcwidth.table_zero
import time:       734 |        734 |                                         wcwidth.unicode_versions
import time:      1646 |       6055 |                                       wcwidth.wcwidth
import time:      1692 |       7746 |                                     wcwidth
import time:      2620 |      10365 |                                   prompt_toolkit.utils
import time:      3499 |      13864 |                                 prompt_toolkit.key_binding.key_processor
import time:      1741 |      25336 |                               prompt_toolkit.key_binding
import time:      1047 |      26382 |                             prompt_toolkit.key_binding.vi_state
import time:      1726 |      28107 |                           prompt_toolkit.cursor_shapes
import time:      3086 |       3086 |                           prompt_toolkit.data_structures
import time:      1792 |       1792 |                             prompt_toolkit.styles.base
import time:      2370 |       2370 |                               prompt_toolkit.styles.named_colors
import time:      1976 |       1976 |                               prompt_toolkit.styles.style
import time:      1187 |       5532 |                             prompt_toolkit.styles.defaults
import time:      2941 |       2941 |                             prompt_toolkit.styles.pygments
import time:       712 |        712 |                               colorsys
import time:      1459 |       2170 |                             prompt_toolkit.styles.style_transformation
import time:      1106 |      13540 |                           prompt_toolkit.styles
import time:      2411 |       2411 |                           prompt_toolkit.output.color_depth
import time:      1583 |      48725 |                         prompt_toolkit.output.base
import time:       926 |        926 |                             prompt_toolkit.output.flush_stdout
import time:      1251 |       2176 |                           prompt_toolkit.output.plain_text
import time:      1210 |       3386 |                         prompt_toolkit.output.defaults
import time:      3841 |      55951 |                       prompt_toolkit.output
import time:      2300 |      58251 |                     prompt_toolkit.output.vt100
import time:      3064 |       3064 |                       prompt_toolkit.mouse_events
import time:      1366 |       4429 |                     prompt_toolkit.formatted_text.base
import time:      2793 |      65472 |                   prompt_toolkit.formatted_text.ansi
import time:      2150 |       2150 |                         xml.dom.domreg
import time:      1394 |       3543 |                       xml.dom
