import time: self [us] | cumulative | imported package
import time:      1982 |       1982 |                 numpy.core.memmap
import time:      1211 |       1211 |                 numpy.core.function_base
import time:      1558 |       1558 |                 numpy.core._machar
import time:      3334 |       3334 |                 numpy.core.getlimits
import time:      2365 |       2365 |                 numpy.core.einsumfunc
import time:     10064 |      10064 |                   numpy.core._multiarray_tests
import time:      5632 |      15696 |                 numpy.core._add_newdocs
import time:      3722 |       3722 |                 numpy.core._add_newdocs_scalars
import time:      2057 |       2057 |                 numpy.core._dtype_ctypes
import time:      5525 |       5525 |                     _ast
import time:      4616 |      10141 |                   ast
import time:     10899 |      10899 |                     _ctypes
import time:      1679 |       1679 |                     ctypes._endian
import time:      4833 |      17410 |                   ctypes
import time:      7042 |      34591 |                 numpy.core._internal
import time:      4094 |       4094 |                 numpy._pytesttester
import time:      6723 |     224647 |               numpy.core
import time:        62 |     224708 |             numpy.core._multiarray_umath
import time:      3294 |     228002 |           numpy.__config__
import time:      1782 |       1782 |             numpy.lib.mixins
import time:      3458 |       3458 |                 numpy.lib.ufunclike
import time:      3441 |       6899 |               numpy.lib.type_check
import time:      2746 |       9644 |             numpy.lib.scimath
import time:      8342 |       8342 |                       typing
import time:      3718 |       3718 |                         numpy.lib.stride_tricks
import time:      7232 |      10950 |                       numpy.lib.twodim_base
import time:      8654 |       8654 |                       numpy.linalg._umath_linalg
import time:      2029 |       2029 |                         __future__
import time:      2634 |       2634 |                         numpy._typing._nested_sequence
import time:      2810 |       2810 |                         numpy._typing._nbit
import time:      3358 |       3358 |                         numpy._typing._char_codes
import time:      3282 |       3282 |                         numpy._typing._scalars
import time:      2371 |       2371 |                         numpy._typing._shape
import time:      7843 |       7843 |                         numpy._typing._dtype_like
import time:     12396 |      12396 |                         numpy._typing._array_like
import time:      4136 |      40855 |                       numpy._typing
import time:      5766 |      74565 |                     numpy.linalg.linalg
import time:      3699 |      78263 |                   numpy.linalg
import time:      3364 |      81627 |                 numpy.matrixlib.defmatrix
import time:     10634 |      92260 |               numpy.matrixlib
import time:      2630 |       2630 |                 numpy.lib.histograms
import time:      9682 |      12312 |               numpy.lib.function_base
import time:      5561 |     110132 |             numpy.lib.index_tricks
import time:      3081 |       3081 |             numpy.lib.nanfunctions
import time:      1842 |       1842 |             numpy.lib.shape_base
import time:      5125 |       5125 |             numpy.lib.polynomial
import time:      8674 |       8674 |               platform
import time:      3947 |      12620 |             numpy.lib.utils
import time:      4416 |       4416 |             numpy.lib.arraysetops
import time:      3207 |       3207 |               numpy.lib.format
import time:      2006 |       2006 |               numpy.lib._datasource
import time:      2136 |       2136 |               numpy.lib._iotools
import time:      3418 |      10766 |             numpy.lib.npyio
import time:      1146 |       1146 |             numpy.lib.arrayterator
import time:      2466 |       2466 |             numpy.lib.arraypad
import time:      1301 |       1301 |             numpy.lib._version
import time:      4687 |     169002 |           numpy.lib
import time:      8962 |       8962 |               numpy.fft._pocketfft_internal
import time:      4574 |      13536 |             numpy.fft._pocketfft
import time:      1535 |       1535 |             numpy.fft.helper
import time:      2652 |      17721 |           numpy.fft
import time:      1684 |       1684 |               numpy.polynomial.polyutils
import time:      1755 |       1755 |               numpy.polynomial._polybase
import time:      5438 |       8877 |             numpy.polynomial.polynomial
import time:      2606 |       2606 |             numpy.polynomial.chebyshev
import time:      1082 |       1082 |             numpy.polynomial.legendre
import time:      1034 |       1034 |             numpy.polynomial.hermite
import time:      2003 |       2003 |             numpy.polynomial.hermite_e
import time:      2885 |       2885 |             numpy.polynomial.laguerre
import time:      8071 |      26556 |           numpy.polynomial
import time:       404 |        404 |                     backports_abc
import time:      6998 |       7401 |                   numpy.random._common
import time:      7364 |       7364 |                       binascii
import time:      2382 |       9746 |                     base64
import time:     36856 |      36856 |                       _hashlib
import time:      6449 |       6449 |                         _blake2
import time:      3763 |      10212 |                       hashlib
import time:      1366 |      48432 |                     hmac
import time:      1539 |      59717 |                   secrets
import time:     12238 |      79355 |                 numpy.random.bit_generator
import time:     11042 |      11042 |                 numpy.random._bounded_integers
import time:      4550 |       4550 |                 numpy.random._mt19937
import time:      8126 |     103071 |               numpy.random.mtrand
import time:      6531 |       6531 |               numpy.random._philox
import time:      6472 |       6472 |               numpy.random._pcg64
import time:      8004 |       8004 |               numpy.random._sfc64
import time:      9172 |       9172 |               numpy.random._generator
import time:      2379 |     135627 |             numpy.random._pickle
import time:      5197 |     140824 |           numpy.random
import time:      2676 |       2676 |           numpy.ctypeslib
import time:      7030 |       7030 |                     _opcode
import time:      2016 |       9045 |                   opcode
import time:      3733 |      12777 |                 dis
import time:      6287 |      19064 |               inspect
import time:     12750 |      31814 |             numpy.ma.core
import time:      4948 |       4948 |             numpy.ma.extras
import time:      2050 |      38811 |           numpy.ma
import time:     20741 |     658945 |         numpy
import time:      2092 |     661036 |       nltk.metrics.aline
import time:      3240 |       3240 |             scipy.__config__
import time:      4823 |       4823 |             scipy.version
import time:       490 |        490 |               scipy._distributor_init_local
import time:       876 |       1365 |             scipy._distributor_init
import time:      1823 |       1823 |                 sysconfig
import time:       237 |        237 |                 cython
import time:      1996 |       1996 |                 _sysconfigdata__darwin_darwin
import time:      2553 |       2553 |                 _osx_support
import time:      5646 |      12253 |               scipy._lib._testutils
import time:      1731 |      13983 |             scipy._lib
import time:      9050 |       9050 |             scipy._lib._pep440
import time:      7911 |       7911 |               scipy._lib._ccallback_c
import time:       898 |       8808 |             scipy._lib._ccallback
import time:      3015 |      44282 |           scipy
import time:      3135 |       3135 |           scipy.stats._warnings_errors
import time:      2452 |       2452 |                       numpy._typing._add_docstring
import time:      1860 |       4311 |                     numpy.typing
import time:     10521 |      10521 |                         scipy._lib.array_api_compat.common._helpers
import time:      1722 |      12242 |                       scipy._lib.array_api_compat.common
import time:      1785 |      14026 |                     scipy._lib.array_api_compat
import time:      4246 |       4246 |                         scipy._lib.array_api_compat.common._aliases
import time:      1292 |       1292 |                         scipy._lib.array_api_compat._internal
import time:      1680 |       1680 |                         scipy._lib.array_api_compat.numpy._info
import time:      3915 |      11132 |                       scipy._lib.array_api_compat.numpy._aliases
import time:      3394 |       3394 |                         scipy._lib.array_api_compat.common._linalg
import time:      3228 |       6621 |                       scipy._lib.array_api_compat.numpy.linalg
import time:      1125 |       1125 |                         scipy._lib.array_api_compat.common._fft
import time:      3156 |       4280 |                       scipy._lib.array_api_compat.numpy.fft
import time:      2103 |      24134 |                     scipy._lib.array_api_compat.numpy
import time:      1750 |      44220 |                   scipy._lib._array_api
import time:      2463 |       2463 |                       pkgutil
import time:      5694 |       8157 |                     pydoc
import time:      5633 |      13789 |                   scipy._lib._docscrape
import time:      4010 |      62018 |                 scipy._lib._util
import time:      4592 |      66610 |               scipy.sparse._sputils
import time:      2329 |       2329 |               scipy.sparse._matrix
import time:      2937 |      71875 |             scipy.sparse._base
import time:      1442 |       1442 |                   numpy._core
import time:      2363 |       3805 |                 numpy._core._multiarray_umath
import time:      5786 |       9591 |               scipy.sparse._sparsetools
import time:      1471 |       1471 |                 scipy.sparse._data
import time:       886 |        886 |                 scipy.sparse._index
import time:      2327 |       4682 |               scipy.sparse._compressed
import time:      3168 |      17440 |             scipy.sparse._csr
import time:      1485 |       1485 |             scipy.sparse._csc
import time:      7301 |       7301 |               scipy.sparse._csparsetools
import time:      1136 |       8437 |             scipy.sparse._lil
import time:      2323 |       2323 |             scipy.sparse._dok
import time:      2452 |       2452 |             scipy.sparse._coo
import time:      1155 |       1155 |             scipy.sparse._dia
import time:      1058 |       1058 |             scipy.sparse._bsr
import time:      9682 |       9682 |             scipy.sparse._construct
import time:      2524 |       2524 |             scipy.sparse._extract
import time:      1565 |       1565 |             scipy.sparse._matrix_io
import time:      2353 |       2353 |                       scipy.sparse.linalg._interface
import time:      2764 |       2764 |                       scipy.sparse.linalg._isolve.utils
import time:      6449 |       6449 |                             scipy.linalg._fblas
import time:       296 |        296 |                             scipy.linalg._cblas
import time:       466 |        466 |                             scipy.linalg._fblas_64
import time:      2639 |       9848 |                           scipy.linalg.blas
import time:      8022 |       8022 |                             scipy.linalg._flapack
import time:       123 |        123 |                             scipy.linalg._clapack
import time:        69 |         69 |                             scipy.linalg._flapack_64
import time:      5523 |      13735 |                           scipy.linalg.lapack
import time:      1718 |      25300 |                         scipy.linalg._misc
import time:     15167 |      15167 |                           scipy.linalg.cython_lapack
import time:      8744 |      23911 |                         scipy.linalg._cythonized_array_utils
import time:      1332 |       1332 |                           scipy.linalg._decomp
import time:      2284 |       2284 |                           scipy.linalg._decomp_svd
import time:     10873 |      10873 |                           scipy.linalg._solve_toeplitz
import time:      1948 |      16436 |                         scipy.linalg._basic
import time:      9338 |       9338 |                           scipy.linalg._decomp_lu_cython
import time:      2032 |      11369 |                         scipy.linalg._decomp_lu
import time:      2058 |       2058 |                         scipy.linalg._decomp_ldl
import time:      3295 |       3295 |                         scipy.linalg._decomp_cholesky
import time:      1078 |       1078 |                         scipy.linalg._decomp_qr
import time:      1054 |       1054 |                         scipy.linalg._decomp_qz
import time:      1546 |       1546 |                         scipy.linalg._decomp_schur
import time:       813 |        813 |                         scipy.linalg._decomp_polar
import time:      1194 |       1194 |                           scipy.linalg._expm_frechet
import time:      8275 |       8275 |                             scipy.linalg._matfuncs_sqrtm_triu
import time:      1121 |       9395 |                           scipy.linalg._matfuncs_sqrtm
import time:      7855 |       7855 |                           scipy.linalg._matfuncs_expm
import time:      6699 |       6699 |                           scipy.linalg._linalg_pythran
import time:      2066 |      27208 |                         scipy.linalg._matfuncs
import time:      1393 |       1393 |                         scipy.linalg._special_matrices
import time:      1455 |       1455 |                         scipy.linalg._solvers
import time:      1635 |       1635 |                         scipy.linalg._procrustes
import time:     12386 |      12386 |                           scipy.linalg.cython_blas
import time:      8126 |      20511 |                         scipy.linalg._decomp_update
import time:      3655 |       3655 |                         scipy.linalg._sketches
import time:      1311 |       1311 |                         scipy.linalg._decomp_cossin
import time:      5562 |       5562 |                           scipy._lib.deprecation
import time:      1842 |       7404 |                         scipy.linalg.decomp
import time:      1673 |       1673 |                         scipy.linalg.decomp_cholesky
import time:      1776 |       1776 |                         scipy.linalg.decomp_lu
import time:      1566 |       1566 |                         scipy.linalg.decomp_qr
import time:      1222 |       1222 |                         scipy.linalg.decomp_svd
import time:      1242 |       1242 |                         scipy.linalg.decomp_schur
import time:       986 |        986 |                         scipy.linalg.basic
import time:      1325 |       1325 |                         scipy.linalg.misc
import time:      1062 |       1062 |                         scipy.linalg.special_matrices
import time:       831 |        831 |                         scipy.linalg.matfuncs
import time:      6783 |     169885 |                       scipy.linalg
import time:      2194 |     177193 |                     scipy.sparse.linalg._isolve.iterative
import time:       706 |        706 |                     scipy.sparse.linalg._isolve.minres
import time:      1713 |       1713 |                       scipy.sparse.linalg._isolve._gcrotmk
import time:      1066 |       2779 |                     scipy.sparse.linalg._isolve.lgmres
import time:      2039 |       2039 |                     scipy.sparse.linalg._isolve.lsqr
import time:       950 |        950 |                     scipy.sparse.linalg._isolve.lsmr
import time:       734 |        734 |                     scipy.sparse.linalg._isolve.tfqmr
import time:      2913 |     187311 |                   scipy.sparse.linalg._isolve
import time:      8795 |       8795 |                       scipy.sparse.linalg._dsolve._superlu
import time:      1437 |       1437 |                         scikits
import time:        54 |       1491 |                       scikits.umfpack
import time:      3234 |      13520 |                     scipy.sparse.linalg._dsolve.linsolve
import time:      2284 |       2284 |                     scipy.sparse.linalg._dsolve._add_newdocs
import time:      1639 |      17442 |                   scipy.sparse.linalg._dsolve
import time:      2909 |       2909 |                           scipy._lib.decorator
import time:      1176 |       4084 |                         scipy._lib._threadsafety
import time:     20698 |      20698 |                         scipy.sparse.linalg._eigen.arpack._arpack
import time:      2399 |      27181 |                       scipy.sparse.linalg._eigen.arpack.arpack
import time:      1602 |      28783 |                     scipy.sparse.linalg._eigen.arpack
import time:      2022 |       2022 |                       scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:      2923 |       4945 |                     scipy.sparse.linalg._eigen.lobpcg
import time:       482 |        482 |                         scipy.sparse.linalg._propack
import time:      8886 |       8886 |                         scipy.sparse.linalg._propack._spropack
import time:      8092 |       8092 |                         scipy.sparse.linalg._propack._dpropack
import time:      6788 |       6788 |                         scipy.sparse.linalg._propack._cpropack
import time:      9855 |       9855 |                         scipy.sparse.linalg._propack._zpropack
import time:      2894 |      36995 |                       scipy.sparse.linalg._svdp
import time:      8213 |      45208 |                     scipy.sparse.linalg._eigen._svds
import time:      3557 |      82490 |                   scipy.sparse.linalg._eigen
import time:      1484 |       1484 |                       scipy.sparse.linalg._onenormest
import time:      4924 |       6408 |                     scipy.sparse.linalg._expm_multiply
import time:      1987 |       8394 |                   scipy.sparse.linalg._matfuncs
import time:      3209 |       3209 |                   scipy.sparse.linalg._norm
import time:      2297 |       2297 |                   scipy.sparse.linalg._special_sparse_arrays
import time:      1418 |       1418 |                   scipy.sparse.linalg.isolve
import time:      1678 |       1678 |                   scipy.sparse.linalg.dsolve
import time:      1816 |       1816 |                   scipy.sparse.linalg.interface
import time:      1976 |       1976 |                   scipy.sparse.linalg.eigen
import time:      2383 |       2383 |                   scipy.sparse.linalg.matfuncs
import time:      1993 |     312402 |                 scipy.sparse.linalg
import time:      1184 |     313586 |               scipy.sparse.csgraph._laplacian
import time:     10629 |      10629 |                   scipy.sparse.csgraph._tools
import time:      2838 |      13466 |                 scipy.sparse.csgraph._validation
import time:      9348 |      22813 |               scipy.sparse.csgraph._shortest_path
import time:     14286 |      14286 |               scipy.sparse.csgraph._traversal
import time:     10714 |      10714 |               scipy.sparse.csgraph._min_spanning_tree
import time:     16599 |      16599 |               scipy.sparse.csgraph._flow
import time:     13742 |      13742 |               scipy.sparse.csgraph._matching
import time:     15037 |      15037 |               scipy.sparse.csgraph._reordering
import time:      1803 |     408577 |             scipy.sparse.csgraph
import time:      1443 |       1443 |             scipy.sparse.base
import time:      1751 |       1751 |             scipy.sparse.bsr
import time:      1663 |       1663 |             scipy.sparse.compressed
import time:       956 |        956 |             scipy.sparse.construct
import time:      1557 |       1557 |             scipy.sparse.coo
import time:      1123 |       1123 |             scipy.sparse.csc
import time:      1749 |       1749 |             scipy.sparse.csr
import time:       765 |        765 |             scipy.sparse.data
import time:       933 |        933 |             scipy.sparse.dia
import time:      1320 |       1320 |             scipy.sparse.dok
import time:      1780 |       1780 |             scipy.sparse.extract
import time:       917 |        917 |             scipy.sparse.lil
import time:      1315 |       1315 |             scipy.sparse.sparsetools
import time:      1529 |       1529 |             scipy.sparse.sputils
import time:     13046 |      13046 |                 scipy.spatial._ckdtree
import time:      4676 |      17721 |               scipy.spatial._kdtree
import time:      2615 |       2615 |                   tempfile
import time:     12469 |      15084 |                 scipy._lib.messagestream
import time:     16608 |      31691 |               scipy.spatial._qhull
import time:     13890 |      13890 |                 scipy.spatial._voronoi
import time:      2372 |      16261 |               scipy.spatial._spherical_voronoi
import time:      2308 |       2308 |               scipy.spatial._plotutils
import time:      2009 |       2009 |               scipy.spatial._procrustes
import time:      6950 |       6950 |                   dataclasses
import time:     21404 |      21404 |                   scipy.spatial._distance_wrap
import time:     17307 |      17307 |                   scipy.spatial._hausdorff
import time:      2699 |       2699 |                     scipy.special._sf_error
import time:     18177 |      18177 |                       scipy.special._ufuncs_cxx
import time:     21617 |      21617 |                       scipy.special._special_ufuncs
import time:     20806 |      60599 |                     scipy.special._ufuncs
import time:      2543 |       2543 |                     scipy.special._support_alternative_backends
import time:     13270 |      13270 |                         _heapq
import time:      1020 |      14289 |                       heapq
import time:     16408 |      16408 |                       scipy.special._gufuncs
import time:      1107 |       1107 |                       scipy.special._input_validation
import time:     14594 |      14594 |                       scipy.special._specfun
import time:     11209 |      11209 |                       scipy.special._comb
import time:      1617 |       1617 |                       scipy.special._multiufuncs
import time:      2293 |      61516 |                     scipy.special._basic
import time:      1058 |       1058 |                         scipy._lib.array_api_extra._funcs
import time:      1817 |       2874 |                       scipy._lib.array_api_extra
import time:      1613 |       4486 |                     scipy.special._logsumexp
import time:      2000 |       2000 |                     scipy.special._orthogonal
import time:      1338 |       1338 |                     scipy.special._spfun_stats
import time:     10631 |      10631 |                       scipy.special._ellip_harm_2
import time:      1935 |      12565 |                     scipy.special._ellip_harm
import time:      1737 |       1737 |                     scipy.special._lambertw
import time:       863 |        863 |                     scipy.special._spherical_bessel
import time:      1065 |       1065 |                     scipy.special.add_newdocs
import time:      1627 |       1627 |                     scipy.special.basic
import time:       859 |        859 |                     scipy.special.orthogonal
import time:       908 |        908 |                     scipy.special.specfun
import time:      2167 |       2167 |                     scipy.special.sf_error
import time:      1468 |       1468 |                     scipy.special.spfun_stats
import time:      3639 |     162071 |                   scipy.special
import time:     28319 |      28319 |                   scipy.spatial._distance_pybind
import time:      9964 |     246012 |                 scipy.spatial.distance
import time:      1245 |     247256 |               scipy.spatial._geometric_slerp
import time:       817 |        817 |               scipy.spatial.ckdtree
import time:       567 |        567 |               scipy.spatial.kdtree
import time:       806 |        806 |               scipy.spatial.qhull
import time:       277 |        277 |                   backports_abc
import time:     15297 |      15297 |                       scipy.constants._codata
import time:      1262 |       1262 |                       scipy.constants._constants
import time:       713 |        713 |                       scipy.constants.codata
import time:       751 |        751 |                       scipy.constants.constants
import time:      8126 |      26148 |                     scipy.constants
import time:      1264 |      27411 |                   scipy.spatial.transform._rotation_groups
import time:     15183 |      42870 |                 scipy.spatial.transform._rotation
import time:       907 |        907 |                 scipy.spatial.transform._rotation_spline
import time:       730 |        730 |                 scipy.spatial.transform.rotation
import time:      1082 |      45588 |               scipy.spatial.transform
import time:      2135 |     367156 |             scipy.spatial
import time:      1724 |       1724 |                   scipy.optimize._dcsrch
import time:      2120 |       3843 |                 scipy.optimize._linesearch
import time:     14711 |      14711 |                   scipy.optimize._group_columns
import time:      4165 |      18875 |                 scipy.optimize._numdiff
import time:      1466 |       1466 |                   scipy.optimize._hessian_update_strategy
import time:      1945 |       3410 |                 scipy.optimize._differentiable_functions
import time:      8417 |      34544 |               scipy.optimize._optimize
import time:      3279 |       3279 |                   scipy.optimize._trustregion
import time:      1276 |       4554 |                 scipy.optimize._trustregion_dogleg
